Personality,Color1,HexCode1,Color2,HexCode2,Color3,HexCode3,Pattern1,Pattern2,Pattern3,Theme
INTJ,Dark Blue,#0F3A78,Slate Gray,#4F4F4F,Bright Yellow,#FDEA5A,Abstract Art,Geometric Patterns,Minimalist Designs,Christmas Theme
INTP,Pale Blue,#A2C3E9,Slate Gray,#4F4F4F,Deep Purple,#6C2DC7,Geometric Patterns,Abstract Art, Minimalist Designs,Christmas Theme
INFJ,Deep Purple,#6C2DC7,Dark Blue,#0F3A78,Light Blue,#A7D3EA,Abstract expressionism,Geometric shapes,Surrealism,Christmas Theme
INFP,Pale Pink,#F2A2C7,Pale Purple,#A76FA3,Pale Blue,#A2C3E9,Fantasy-inspired art,Abstract shapes,Bright colors,Christmas Theme
ISTP,Deep Blue,#0F3A78,Slate Gray,#4F4F4F,Deep Purple,#6C2DC7,Urban artwork,Graffiti,Comic-influenced designs,Christmas Theme
ISFP,Pale Pink,#F2A2C7,Soft Blue,#A7D3EA,Soft Green,#7CCEB9,Vintage designs,Muted colors,Dreamy-Romantic artwork,Christmas Theme
ISTJ,Deep Blue," #0F3A78",Slate Gray,#4F4F4F,Soft Blue,#A7D3EA,Structured,Classical designs,Muted colors,Christmas Theme
ISFJ,Pale Pink," #F2A2C7",Soft Blue,#A7D3EA,Soft Green,#7CCEB9,Soft,Romantic designs,Floral elements,Christmas Theme
ENTJ,Deep Red,#A52A2A,Bright Blue,#7AC9E8,Bright Green,#8ED1B2,Powerful imagery,Bold colors,Modern designs,Christmas Theme
ENFJ,Bright Green,#8ED1B2,Bright Blue,#7AC9E8,Bright Yellow,#FDEA5A,Floral/Nature-inspired designs,Pastel-Earth tones,Landscapes,Christmas Theme
ENTP,Bright Orange,#F78C6A,Bright Yellow,#FDEA5A,Bright Blue,#7AC9E8,Colorful,Whimsical designs,Comic Art-Abstract shapes,Christmas Theme
ENFP,Bright Orange,#F78C6A,Bright Yellow,#FDEA5A,Bright Green,#8ED1B2,Cartoonish art,Vibrant colors,Fantasy-inspired designs,Christmas Theme
ESTP,Bright Orange,#F78C6A,Bright Yellow,#FDEA5A,Bright Red,#E02F44,Bold Pattern,Modern Pattern,Abstract Pattern,Christmas Theme
ESTJ,Bright Orange,#F78C6A,Bright Yellow,#FDEA5A,Bright Red,#E02F44,Bold,Powerful,Arrange Pattern,Christmas Theme
ESFJ,Bright Orange,#F78C6A,Bright Red,#E02F44,Bright Yellow,#FDEA5A,Bright-Cheery designs, Animals Pattern, Nature-inspired patterns,Christmas Theme
ESFP,Bright Orange,#F78C6A,Bright Yellow,#FDEA5A,Bright Red,#E02F44,Fun Patterns,Vibrant Patterns,Whimsical Patterns,Christmas Theme